#\delta	Number of cells	Cumulative
0.52600	2673	2352700
0.52800	2538	2355238
0.53000	2543	2357781
0.53200	2488	2360269
0.53400	2513	2362782
0.53600	2545	2365327
0.53800	2609	2367936
0.54000	2547	2370483
0.54200	2567	2373050
0.54400	2633	2375683
0.54600	2478	2378161
0.54800	2567	2380728
0.55000	2530	2383258
0.55200	2489	2385747
0.55400	2534	2388281
0.55600	2494	2390775
0.55800	2438	2393213
0.56000	2563	2395776
0.56200	2546	2398322
0.56400	2450	2400772
0.56600	2407	2403179
0.56800	2536	2405715
0.57000	2442	2408157
0.57200	2366	2410523
0.57400	2476	2412999
0.57600	2470	2415469
0.57800	2396	2417865
0.58000	2557	2420422
0.58200	2494	2422916
0.58400	2544	2425460
0.58600	2447	2427907
0.58800	2437	2430344
0.59000	2411	2432755
0.59200	2513	2435268
0.59400	2476	2437744
0.59600	2451	2440195
0.59800	2400	2442595
0.60000	2444	2445039
0.60200	2434	2447473
0.60400	2348	2449821
0.60600	2358	2452179
0.60800	2352	2454531
0.61000	2431	2456962
0.61200	2345	2459307
0.61400	2390	2461697
0.61600	2448	2464145
0.61800	2388	2466533
0.62000	2373	2468906
0.62200	2343	2471249
0.62400	2352	2473601
0.62600	2227	2475828
0.62800	2333	2478161
0.63000	2333	2480494
0.63200	2306	2482800
0.63400	2348	2485148
0.63600	2351	2487499
0.63800	2266	2489765
0.64000	2359	2492124
0.64200	2264	2494388
0.64400	2326	2496714
0.64600	2273	2498987
0.64800	2294	2501281
0.65000	2280	2503561
0.65200	2277	2505838
0.65400	2331	2508169
0.65600	2335	2510504
0.65800	2257	2512761
0.66000	2352	2515113
0.66200	2299	2517412
0.66400	2219	2519631
0.66600	2232	2521863
0.66800	2216	2524079
0.67000	2178	2526257
0.67200	2135	2528392
0.67400	2182	2530574
0.67600	2250	2532824
0.67800	2191	2535015
0.68000	2174	2537189
0.68200	2218	2539407
0.68400	2167	2541574
0.68600	2132	2543706
0.68800	2259	2545965
0.69000	2227	2548192
0.69200	2200	2550392
0.69400	2183	2552575
0.69600	2155	2554730
0.69800	2099	2556829
0.70000	2189	2559018
0.70200	2162	2561180
0.70400	2104	2563284
0.70600	2194	2565478
0.70800	2217	2567695
0.71000	2165	2569860
0.71200	2096	2571956
0.71400	2176	2574132
0.71600	2128	2576260
0.71800	2113	2578373
0.72000	2004	2580377
0.72200	2110	2582487
0.72400	2039	2584526
0.72600	2166	2586692
0.72800	2090	2588782
0.73000	2096	2590878
0.73200	2145	2593023
0.73400	2138	2595161
0.73600	2130	2597291
0.73800	2135	2599426
0.74000	2048	2601474
0.74200	2091	2603565
0.74400	2111	2605676
0.74600	2039	2607715
0.74800	2172	2609887
0.75000	2004	2611891
0.75200	2084	2613975
0.75400	1987	2615962
0.75600	2098	2618060
0.75800	2089	2620149
0.76000	2076	2622225
0.76200	2028	2624253
0.76400	2096	2626349
0.76600	2051	2628400
0.76800	1957	2630357
0.77000	2009	2632366
0.77200	1944	2634310
0.77400	1995	2636305
0.77600	2018	2638323
0.77800	1990	2640313
0.78000	2053	2642366
0.78200	1938	2644304
0.78400	2020	2646324
0.78600	1987	2648311
0.78800	1989	2650300
0.79000	1990	2652290
0.79200	1968	2654258
0.79400	1961	2656219
0.79600	2060	2658279
0.79800	1934	2660213
0.80000	1939	2662152
0.80200	1985	2664137
0.80400	1905	2666042
0.80600	2028	2668070
0.80800	1939	2670009
0.81000	1898	2671907
0.81200	1972	2673879
0.81400	1959	2675838
0.81600	1880	2677718
0.81800	1893	2679611
0.82000	2009	2681620
0.82200	1883	2683503
0.82400	1930	2685433
0.82600	1918	2687351
0.82800	1905	2689256
0.83000	1973	2691229
0.83200	1825	2693054
0.83400	1838	2694892
0.83600	1932	2696824
0.83800	1859	2698683
0.84000	1945	2700628
0.84200	1831	2702459
0.84400	1875	2704334
0.84600	1798	2706132
0.84800	1872	2708004
0.85000	1955	2709959
0.85200	1833	2711792
0.85400	1842	2713634
0.85600	1914	2715548
0.85800	1847	2717395
0.86000	1759	2719154
0.86200	1856	2721010
0.86400	1879	2722889
0.86600	1762	2724651
0.86800	1908	2726559
0.87000	1826	2728385
0.87200	1841	2730226
0.87400	1844	2732070
0.87600	1794	2733864
0.87800	1770	2735634
0.88000	1763	2737397
0.88200	1749	2739146
0.88400	1793	2740939
0.88600	1743	2742682
0.88800	1798	2744480
0.89000	1741	2746221
0.89200	1777	2747998
0.89400	1687	2749685
0.89600	1797	2751482
0.89800	1786	2753268
0.90000	1690	2754958
0.90200	1753	2756711
0.90400	1682	2758393
0.90600	1733	2760126
0.90800	1666	2761792
0.91000	1696	2763488
0.91200	1774	2765262
0.91400	1745	2767007
0.91600	1811	2768818
0.91800	1745	2770563
0.92000	1699	2772262
0.92200	1741	2774003
0.92400	1695	2775698
0.92600	1703	2777401
